Dates,Gold Price (US $),US CPI ,Real Price of Gold,10 Year Treasury - Nominal Yield,10 Year Treasury - Real Yield,Cleveland 10 Year Real Yield,Expected 10 Year Inflation,Gold ETF Market Cap,Gold ETF Gold Holdings
1/31/1975,175.5,52.3,3.355640535,7.532,,,,0,0
2/28/1975,183,52.6,3.479087452,7.462,,,,0,0
3/31/1975,177.1,52.8,3.354166667,8.012,,,,0,0
4/30/1975,166.8,53,3.147169811,8.312,,,,0,0
5/30/1975,166.5,53.1,3.13559322,8.042,,,,0,0
6/30/1975,167.8,53.5,3.136448598,7.962,,,,0,0
7/31/1975,167.6,54,3.103703704,8.202,,,,0,0
8/29/1975,160.2,54.2,2.955719557,8.282,,,,0,0
9/30/1975,140.5,54.6,2.573260073,8.482,,,,0,0
10/31/1975,142.8,54.9,2.601092896,7.912,,,,0,0
11/28/1975,137.3,55.3,2.482820976,8.142,,,,0,0
12/31/1975,141,55.6,2.535971223,7.762,,,,0,0
1/30/1976,128.2,55.8,2.297491039,7.802,,,,0,0
2/27/1976,132.6,55.9,2.372093023,7.772,,,,0,0
3/31/1976,129.1,56,2.305357143,7.662,,,,0,0
4/30/1976,128.9,56.1,2.297682709,7.672,,,,0,0
5/31/1976,126,56.4,2.234042553,7.962,,,,0,0
6/30/1976,123.9,56.7,2.185185185,7.862,,,,0,0
7/30/1976,112.1,57,1.966666667,7.862,,,,0,0
8/31/1976,102.8,57.3,1.794066318,7.662,,,,0,0
9/30/1976,115.7,57.6,2.008680556,7.552,,,,0,0
10/29/1976,123.8,57.9,2.138169257,7.422,,,,0,0
11/30/1976,131.5,58.1,2.263339071,7.012,,,,0,0
12/31/1976,135.7,58.4,2.323630137,6.812,,,,0,0
1/31/1977,133,58.7,2.265758092,7.402,,,,0,0
2/28/1977,144.6,59.3,2.438448567,7.802,,,,0,0
3/31/1977,149.5,59.6,2.508389262,7.422,,,,0,0
4/29/1977,148,60,2.466666667,7.452,,,,0,0
